last,first,mlbid,ab_id,pitch_id,start_speed,x0,z0,px,pz,pfx_x,pfx_z,stand,inning,height,spinrateND,spindirND,vxf,vzf,xangle,zangle,pitch_type
Fields,Joshua,451661,8334624,18428372,81.4182,-1.49518,5.55433,0.389337,1.95838,-4.287,7.429,L,9,72,803.046,210.675,2.56922,-12.7396,-1.37047,6.7652,CH
Madson,Ryan,425492,7614653,16115042,86.0206,-2.31354,6.43637,-1.17241,1.60895,-11.17,3.91,L,9,78,1938,257.113,-1.3769,-16.6153,0.684335,8.20192,CH
Lyon,Brandon,407193,8021421,17310359,85.4552,-2.51227,6.10649,-0.771965,0.655365,-8.232,3.304,L,7,73,976.369,256.186,0.999062,-18.223,-0.494217,8.94149,CH
Porcello,Rick,519144,8023181,17316962,84.3564,-2.53912,6.26901,-0.780535,3.31108,-8.74,5.24,L,3,77,1406.48,242.668,0.858464,-12.0049,-0.440053,6.13038,CH
Verlander,Justin,434378,8246711,18090869,84.6435,-2.17521,6.73159,-1.49927,2.07422,-8.812,6.955,L,2,77,1584.74,237.395,-1.56028,-15.1461,0.79039,7.6277,CH
Blackburn,Nick,448147,6822785,14057707,82.7319,-1.68412,6.43811,0.350658,0.283792,-6.76,5.23,L,1,76,740.8,242.184,2.10209,-18.9443,-1.09617,9.78384,CH
Gee,Dillon,518716,6946094,14414927,82.8122,-1.61519,5.27223,-1.24025,1.6762,-8.55,-0.26,L,8,73,1061.28,280.682,-2.0567,-15.2835,1.08455,8.00775,CH
Thornburg,Tyler,592804,8323570,18385716,81.6551,-1.64537,6.42806,-0.0914783,2.21141,-6.016,3.957,L,6,71,685.961,243.306,1.30474,-15.193,-0.677292,7.83781,CH
Westbrook,Jake,150414,6929251,14365870,77.6826,-1.67414,6.09452,-1.63297,1.68279,-8.26,0.37,L,2,75,968.753,276.731,-2.54429,-16.7446,1.40479,9.16807,CH
Martinez,Cristhian,450852,7990189,17190894,81.7859,-1.64613,5.28847,1.29839,1.39078,-10.349,1.722,R,7,73,1330.93,267.724,2.81703,-15.2631,-1.49351,8.04067,CH
Lohse,Kyle,346798,7962396,17084311,83.4453,-1.12415,6.2398,0.908281,1.22211,-9.532,4.282,L,2,74,1353.24,252.906,1.17166,-16.8364,-0.602,8.58601,CH
Lowe,Derek,117955,7957263,17064469,84.2566,-2.45655,5.82926,-0.282359,1.88112,-7.75,0.35,L,3,78,795.629,277.866,2.10774,-15.8559,-1.08248,8.08999,CH
Humber,Philip,458950,6869537,14192903,84.0699,-2.15258,5.87034,-0.270717,3.10638,-4.45,4.7,L,3,75,527.43,225.641,2.59634,-11.7729,-1.33404,6.02786,CH
Hynick,Brandon,502001,6666167,13608797,84.5058,-1.98348,6.54044,1.37921,2.80182,-0.476,5.11,L,6,75,398.786,171.377,7.23623,-13.7609,-3.6915,6.99479,CH
Matsuzaka,Daisuke,493137,8090534,17574899,84.1942,-1.88982,5.62255,1.19152,2.40562,-4.864,6.737,R,2,72,771.73,214.354,5.08042,-12.0673,-2.61041,6.18063,CH
Lincoln,Brad,453184,7787861,16544535,83.0039,-2.51544,5.74792,-1.32715,1.31548,-4.04,0.23,L,6,72,382.7,282.597,1.20979,-16.9563,-0.613832,8.53993,CH
Medlen,Kris,450665,8343674,18462986,81.7463,-0.548505,5.94818,0.0917013,2.25979,-8.519,5.296,L,4,70,1300.82,242.68,-1.50519,-13.6036,0.77893,7.00513,CH
Lackey,John,407793,6835467,14094883,85.2327,-2.81301,6.42407,-0.88048,2.69746,-6.314,5.867,L,3,78,822.356,231.322,2.0936,-13.4725,-1.06841,6.84338,CH
Camp,Shawn,425861,6835812,14096178,81.915,-2.45898,5.39537,0.0679272,1.71799,-8.17,-0.39,L,6,72,872.689,280.827,2.66841,-15.5029,-1.38821,8.01411,CH
Cahill,Trevor,502239,8343570,18462624,83.1674,-2.45424,6.36001,0.645435,1.28786,-4.873,0.121,L,1,76,529.696,285.858,5.09732,-18.3866,-2.59367,9.28004,CH
Verlander,Justin,434378,8229153,18024119,83.2543,-2.30588,7.0088,-1.27119,2.66509,-6.887,8.025,L,7,77,1422.58,224.547,-0.0988333,-14.089,0.0508256,7.20708,CH
Cain,Matt,430912,7247699,15217629,85.2346,-2.01096,5.94604,-0.333987,0.930901,-6.41,2.46,L,7,75,701.448,260.049,1.49691,-17.5243,-0.748489,8.69567,CH
Garland,Jon,279782,8228839,18022924,81.0114,-2.09751,6.74159,-0.485777,2.3393,-5.066,4.76,L,4,78,780.808,233.133,1.73256,-15.3204,-0.91363,8.02664,CH
Clippard,Tyler,461325,8167516,17785676,81.0415,-1.29951,6.63597,-0.280348,0.34577,-6.215,9.578,L,8,75,1317.21,217.407,0.0907674,-17.7185,-0.0477291,9.23623,CH
Ottavino,Adam,493603,8074125,17511240,87.2791,-3.75439,5.97979,-2.49565,2.6608,-4.76,1.26,L,6,77,615.554,263.928,1.17232,-14.1568,-0.564185,6.78143,CH
Lynn,Lance,458681,8231500,18033058,84.2088,-2.29066,5.31148,-1.29643,3.08988,-11.031,1.99,L,7,77,1728.59,263.264,-1.61213,-11.5002,0.823332,5.85326,CH
Karstens,JeFA,444371,7115860,14882627,77.4292,-2.87685,6.214,-0.774316,2.10079,-5.37,2.54,L,5,75,454.628,255.084,2.55094,-15.4485,-1.41368,8.50008,CH
Carrasco,Carlos,471911,7145265,14960841,88.3435,-2.03382,5.57584,-0.797455,2.71619,-5.28,-1.76,R,6,75,639.802,299.81,0.945095,-14.1876,-0.465513,6.954,CH
Norris,Bud,502032,8204164,17928274,86.5646,-1.52807,5.99807,-1.86019,3.55857,-4.273,6.111,L,4,72,849.866,218.803,-2.28252,-10.4213,1.11945,5.09821,CH
Williams,Jerome,425532,8195223,17893694,84.4147,-2.3343,5.58162,-0.191033,1.14672,-7.995,3.767,L,14,75,928.566,251.317,1.96322,-15.7573,-0.990757,7.90238,CH
Santos,Sergio,435045,6987572,14532373,88.897,-3.06483,5.45969,0.161302,1.17039,-10.115,2.858,L,9,75,1316.38,261.138,3.79546,-15.8231,-1.84774,7.65983,CH
Hernandez,Felix,433587,7238078,15194538,92.0192,-1.94507,5.84208,-0.566696,2.20533,-6.096,1.567,R,8,75,631.557,266.952,1.01865,-14.8233,-0.480536,6.95849,CH
Lincecum,Tim,453311,8186365,17859374,82.5854,-0.728382,6.3009,-0.475042,1.44853,-2.056,3.463,L,5,71,258.871,221.777,-0.152803,-16.7484,0.0781243,8.50011,CH
Matsuzaka,Daisuke,493137,7994132,17205857,81.5779,-2.83702,5.60687,-0.62055,1.68048,-11.85,3.15,L,5,72,2112.62,259.626,0.757188,-14.8437,-0.394292,7.68331,CH
Lohse,Kyle,346798,6847451,14129011,79.1009,-1.25887,6.34543,-0.373194,2.00425,-10.9,4.16,L,6,74,1541.08,256.24,-1.677,-15.3968,0.922127,8.40607,CH
Wells,Randy,448694,7943045,17006726,80.0784,-1.64948,6.26214,-1.56228,1.07143,-10.61,1.779,L,4,77,1433.04,269.817,-3.27394,-17.9387,1.77008,9.61062,CH
Verlander,Justin,434378,8252384,18112760,84.8286,-2.22524,6.73672,-0.927964,2.86034,-7.196,4.809,L,2,77,1083.76,240.773,0.366438,-14.1517,-0.181864,6.98863,CH
Cisnero,Jose,542585,8234668,18045216,88.1439,-2.65844,5.67157,0.106617,2.18069,-6.75,5.48,R,8,75,908.758,233.535,3.92594,-13.0352,-1.91681,6.34069,CH
Shields,James,448306,8022215,17313382,86.1115,-2.60404,5.86628,-0.98548,2.15842,-7.68,3,L,1,76,884.475,256.331,0.935798,-14.4211,-0.470039,7.20548,CH
Strasburg,Stephen,544931,8300983,18299310,91.1724,-1.45125,6.23365,-0.253127,2.29594,-9.256,2.573,L,7,76,1335.46,262.191,-0.589025,-15.1518,0.280154,7.16895,CH
Lowe,Derek,117955,7950687,17035759,84.6856,-2.22532,5.83911,0.181048,1.66514,-8.14,-2.59,L,1,78,1058.82,298.922,2.49511,-17.366,-1.28168,8.85097,CH
Gee,Dillon,518716,7447248,15704183,84.2831,-1.35843,5.55516,1.45253,1.05451,-8.02,0.17,R,1,73,896.336,280.172,3.41443,-17.1337,-1.74739,8.7036,CH
